ad_name,placement,file,primary_text,headline,description,cta
jobflex-smart-proposal,reels_stories_feed,final/jobflex-smart-proposal-9x16.mp4,"Describe the job in plain words. JobFlex prices materials and labor, then hands you a client-ready proposal. This is the actual app.","Estimate In Minutes, Not Nights","Free 14 days. No card.",Sign Up
jobflex-smart-proposal-static,feed,final/jobflex-smart-proposal-1080x1080.png,"Describe the job in plain words. JobFlex prices materials and labor, then hands you a client-ready proposal. This is the actual app.","Estimate In Minutes, Not Nights","Free 14 days. No card.",Sign Up
jobflex-materials-prices,reels_stories_feed,final/jobflex-materials-prices-9x16.mp4,"Your estimate becomes a shoppable materials list — real products, live retail prices, buy links at Home Depot, Lowe's and Ace. Straight from the app.","Materials Priced For Real","Free 14 days. No card.",Sign Up
jobflex-materials-prices-static,feed,final/jobflex-materials-prices-1080x1080.png,"Your estimate becomes a shoppable materials list — real products, live retail prices, buy links at Home Depot, Lowe's and Ace. Straight from the app.","Materials Priced For Real","Free 14 days. No card.",Sign Up
jobflex-fence-studio,reels_stories_feed,final/jobflex-fence-studio-9x16.mp4,"Draw the fence on a satellite photo of the yard. JobFlex measures every run and prices it live — swap material or height and watch the number move.","Quote A Fence From The Sky","Free 14 days. No card.",Sign Up
jobflex-fence-studio-static,feed,final/jobflex-fence-studio-1080x1080.png,"Draw the fence on a satellite photo of the yard. JobFlex measures every run and prices it live — swap material or height and watch the number move.","Quote A Fence From The Sky","Free 14 days. No card.",Sign Up
jobflex-proposal-pipeline,reels_stories_feed,final/jobflex-proposal-pipeline-9x16.mp4,"Pipeline value, signed contracts, payment schedules and the document itself — all on your phone. Small crew, big-company paperwork.","Proposals That Win Jobs","Free 14 days. No card.",Sign Up
jobflex-proposal-pipeline-static,feed,final/jobflex-proposal-pipeline-1080x1080.png,"Pipeline value, signed contracts, payment schedules and the document itself — all on your phone. Small crew, big-company paperwork.","Proposals That Win Jobs","Free 14 days. No card.",Sign Up
jobflex-crew-calendar,reels_stories_feed,final/jobflex-crew-calendar-9x16.mp4,"The month, the crew and every job in one calendar. Tap a day to see who's where — add the next job before you leave the site.","Scheduling Without The Chaos","Free 14 days. No card.",Sign Up
jobflex-crew-calendar-static,feed,final/jobflex-crew-calendar-1080x1080.png,"The month, the crew and every job in one calendar. Tap a day to see who's where — add the next job before you leave the site.","Scheduling Without The Chaos","Free 14 days. No card.",Sign Up
