Ad Name,Angle,Hook Archetype,Format,Placement,Asset File,Primary Text,Headline,Description,Call To Action
"JF-01-first-quote-wins","Pain point — speed to quote","Direct statement","Image","Feed 1:1","static/jobflex-01-first-quote-wins-1080x1080.png","The first contractor to send the quote usually wins the job. JobFlex builds it on your phone before you leave the driveway.","Quote It Before You Leave","Free 14 days. No card.","Start free trial"
"JF-01-first-quote-wins","Pain point — speed to quote","Direct statement","Image","Story/Reels 9:16","static/jobflex-01-first-quote-wins-1080x1920.png","The first contractor to send the quote usually wins the job. JobFlex builds it on your phone before you leave the driveway.","Quote It Before You Leave","Free 14 days. No card.","Start free trial"
"JF-01-first-quote-wins","Pain point — speed to quote","Direct statement","Video","Reels 9:16","video/final/jobflex-01-first-quote-wins-9x16-final.mp4","The first contractor to send the quote usually wins the job. JobFlex builds it on your phone before you leave the driveway.","Quote It Before You Leave","Free 14 days. No card.","Start free trial"
"JF-02-your-quote-vs-theirs","Comparison — before/after split","Result-first / visual contrast","Image","Feed 1:1","static/jobflex-02-your-quote-vs-theirs-1080x1080.png","Same job. Same price. One of these got signed. Homeowners pick the contractor who looks like they've done it before.","Look Like The Pro You Are","Proposals in 4 minutes","Start free trial"
"JF-02-your-quote-vs-theirs","Comparison — before/after split","Result-first / visual contrast","Image","Story/Reels 9:16","static/jobflex-02-your-quote-vs-theirs-1080x1920.png","Same job. Same price. One of these got signed. Homeowners pick the contractor who looks like they've done it before.","Look Like The Pro You Are","Proposals in 4 minutes","Start free trial"
"JF-02-your-quote-vs-theirs","Comparison — before/after split","Result-first / visual contrast","Video","Reels 9:16","video/final/jobflex-02-your-quote-vs-theirs-9x16-final.mp4","Same job. Same price. One of these got signed. Homeowners pick the contractor who looks like they've done it before.","Look Like The Pro You Are","Proposals in 4 minutes","Start free trial"
"JF-03-price-comparison","Comparison — price against category leaders","Number stack / pattern interrupt","Image","Feed 1:1","static/jobflex-03-price-comparison-1080x1080.png","Mid-tier field software runs $149/mo. Enterprise won't show a price. JobFlex is $29 — same quoting, scheduling, invoicing.","Same Work. $120 Less/Mo.","Plans start at $29/mo","See pricing"
"JF-03-price-comparison","Comparison — price against category leaders","Number stack / pattern interrupt","Image","Story/Reels 9:16","static/jobflex-03-price-comparison-1080x1920.png","Mid-tier field software runs $149/mo. Enterprise won't show a price. JobFlex is $29 — same quoting, scheduling, invoicing.","Same Work. $120 Less/Mo.","Plans start at $29/mo","See pricing"
"JF-03-price-comparison","Comparison — price against category leaders","Number stack / pattern interrupt","Video","Reels 9:16","video/final/jobflex-03-price-comparison-9x16-final.mp4","Mid-tier field software runs $149/mo. Enterprise won't show a price. JobFlex is $29 — same quoting, scheduling, invoicing.","Same Work. $120 Less/Mo.","Plans start at $29/mo","See pricing"
"JF-04-signed-on-their-phone","Product demo — UI does the talking","Show the thing","Image","Feed 1:1","static/jobflex-04-signed-on-their-phone-1080x1080.png","This is the entire proposal screen. Line items, materials, signature, deposit. Your customer opens the link and signs.","Signed On Their Phone","Deposit collected too","See how it works"
"JF-04-signed-on-their-phone","Product demo — UI does the talking","Show the thing","Image","Story/Reels 9:16","static/jobflex-04-signed-on-their-phone-1080x1920.png","This is the entire proposal screen. Line items, materials, signature, deposit. Your customer opens the link and signs.","Signed On Their Phone","Deposit collected too","See how it works"
"JF-04-signed-on-their-phone","Product demo — UI does the talking","Show the thing","Video","Reels 9:16","video/final/jobflex-04-signed-on-their-phone-9x16-final.mp4","This is the entire proposal screen. Line items, materials, signature, deposit. Your customer opens the link and signs.","Signed On Their Phone","Deposit collected too","See how it works"
"JF-05-fence-from-satellite","Curiosity — unique capability","Curiosity gap","Image","Feed 1:1","static/jobflex-05-fence-from-satellite-1080x1080.png","Drop a line on the satellite view. JobFlex pulls property lines, counts panels, prices gates. Fence quote in six minutes.","Measure Fence By Satellite","3D Fence Studio","Try Fence Studio"
"JF-05-fence-from-satellite","Curiosity — unique capability","Curiosity gap","Image","Story/Reels 9:16","static/jobflex-05-fence-from-satellite-1080x1920.png","Drop a line on the satellite view. JobFlex pulls property lines, counts panels, prices gates. Fence quote in six minutes.","Measure Fence By Satellite","3D Fence Studio","Try Fence Studio"
"JF-05-fence-from-satellite","Curiosity — unique capability","Curiosity gap","Video","Reels 9:16","video/final/jobflex-05-fence-from-satellite-9x16-final.mp4","Drop a line on the satellite view. JobFlex pulls property lines, counts panels, prices gates. Fence quote in six minutes.","Measure Fence By Satellite","3D Fence Studio","Try Fence Studio"
"JF-06-real-material-prices","Pain point — margin leak","Contrarian reframe","Image","Feed 1:1","static/jobflex-06-real-material-prices-1080x1080.png","Guessing lumber prices costs more than losing bids. JobFlex prices every material live and links to the supplier.","Real Prices. Real Margin.","Live material pricing","Start free trial"
"JF-06-real-material-prices","Pain point — margin leak","Contrarian reframe","Image","Story/Reels 9:16","static/jobflex-06-real-material-prices-1080x1920.png","Guessing lumber prices costs more than losing bids. JobFlex prices every material live and links to the supplier.","Real Prices. Real Margin.","Live material pricing","Start free trial"
"JF-06-real-material-prices","Pain point — margin leak","Contrarian reframe","Video","Reels 9:16","video/final/jobflex-06-real-material-prices-9x16-final.mp4","Guessing lumber prices costs more than losing bids. JobFlex prices every material live and links to the supplier.","Real Prices. Real Margin.","Live material pricing","Start free trial"
"JF-07-three-hour-estimate","Contrarian — stop doing X","Stop doing X","Image","Feed 1:1","static/jobflex-07-three-hour-estimate-1080x1080.png","Drive out, measure, drive back, rebuild it in a spreadsheet, email it Thursday. Three unpaid hours per lead you may lose.","Estimates In 4 Min, Not 3 Hrs","Free for 14 days","Start free trial"
"JF-07-three-hour-estimate","Contrarian — stop doing X","Stop doing X","Image","Story/Reels 9:16","static/jobflex-07-three-hour-estimate-1080x1920.png","Drive out, measure, drive back, rebuild it in a spreadsheet, email it Thursday. Three unpaid hours per lead you may lose.","Estimates In 4 Min, Not 3 Hrs","Free for 14 days","Start free trial"
"JF-07-three-hour-estimate","Contrarian — stop doing X","Stop doing X","Video","Reels 9:16","video/final/jobflex-07-three-hour-estimate-9x16-final.mp4","Drive out, measure, drive back, rebuild it in a spreadsheet, email it Thursday. Three unpaid hours per lead you may lose.","Estimates In 4 Min, Not 3 Hrs","Free for 14 days","Start free trial"
"JF-08-not-forty-trucks","Identity — built for your size","Identity call-out","Image","Feed 1:1","static/jobflex-08-not-forty-trucks-1080x1080.png","You're not running forty trucks. You shouldn't need an implementation consultant. Sign up, quote a job the same afternoon.","Not Built For 40 Trucks","For 1–10 person shops","Start free trial"
"JF-08-not-forty-trucks","Identity — built for your size","Identity call-out","Image","Story/Reels 9:16","static/jobflex-08-not-forty-trucks-1080x1920.png","You're not running forty trucks. You shouldn't need an implementation consultant. Sign up, quote a job the same afternoon.","Not Built For 40 Trucks","For 1–10 person shops","Start free trial"
